"plot","treeNum","DBH_cm","height_m","species","dOut_m","dSideR_m","dSideL_m","notes","percentLive","plotNum"
64,227,0.4,1.4,"PIPO",35.2,1.4,NA,NA,97,48
64,228,1.1,1.5,"PIPO",34.8,0.9,NA,NA,98,48
64,229,1.3,1.9,"PIPO",34.5,4.9,NA,NA,97,48
64,230,1.7,2,"PIPO",34.5,4.8,NA,NA,98,48
64,231,0.5,1.7,"PIPO",34.5,4.8,NA,NA,98,48
64,232,1.9,2,"PIPO",34.4,4.7,NA,NA,98,48
64,233,1.2,1.8,"PIPO",34.4,4.6,NA,NA,99,48
64,234,1,1.6,"PIPO",33.8,4.6,NA,NA,99,48
64,235,0.6,1.5,"PIPO",33.6,4.9,NA,NA,99,48
64,236,0,1.2,"PIPO",31.9,4.1,NA,NA,98,48
64,237,0.9,1.6,"PIPO",33.7,3.7,NA,NA,98,48
64,238,0.7,1.5,"PIPO",33.4,3.9,NA,NA,98,48
64,239,0,1.3,"PIPO",34.4,2.5,NA,NA,99,48
64,240,0.2,1.4,"PIPO",34.1,2.1,NA,NA,98,48
64,241,0.9,1.7,"PIPO",32.9,3.8,NA,NA,98,48
64,242,0.7,1.6,"PIPO",32.6,3.9,NA,NA,97,48
64,243,0.8,1.6,"PIPO",33.5,4.7,NA,NA,98,48
64,244,0,1.3,"PIPO",31.6,3.9,NA,NA,96,48
64,245,67.7,33.5,"PIPO",30.1,3,NA,"old broken top, new leader",0,48
64,246,0.2,1.4,"PIPO",30.8,0.5,NA,NA,99,48
64,247,0.8,1.5,"PIPO",30.4,0.6,NA,NA,97,48
64,248,0.8,1.5,"PIPO",29.9,0.8,NA,NA,99,48
64,249,1.9,2.1,"PIPO",30,1.3,NA,NA,98,48
64,250,3,2,"PIPO",30.2,1.5,NA,NA,97,48
64,251,0,1.3,"PIPO",29.8,1.9,NA,NA,95,48
64,252,1.2,1.5,"PIPO",29.7,1.8,NA,NA,96,48
64,253,1.5,1.9,"PIPO",29.6,4.3,NA,NA,97,48
64,254,0,1.2,"PIPO",29,4.7,NA,NA,94,48
64,255,39.9,23.3,"PIPO",27.9,3.9,NA,"fire scar about 15m",0,48
64,256,1,1.5,"PIPO",28.9,2.7,NA,NA,96,48
64,257,2.8,2.2,"PIPO",28.4,1.7,NA,NA,97,48
64,258,0,1.36,"PIPO",27.9,2.9,NA,NA,98,48
64,259,1.3,1.6,"PIPO",27.6,2.5,NA,NA,98,48
64,260,1.2,1.6,"PIPO",27.4,1.8,NA,NA,98,48
64,261,0,1.35,"PIPO",27.4,1.6,NA,NA,98,48
64,262,0,1.1,"PIPO",26.7,0.6,NA,"percent live not fully recorded in field (box had a 9 but no other damage codes)",97,48
64,263,0,1.1,"PIPO",26.3,0.9,NA,NA,97,48
64,264,0,1.1,"PIPO",26.7,1.1,NA,NA,99,48
64,265,1.2,1.9,"PIPO",26.4,1.6,NA,NA,97,48
64,266,0,1.35,"PIPO",26.2,3,NA,NA,98,48
64,267,0,1.1,"PIPO",26.4,3.4,NA,NA,98,48
64,268,0,1.2,"PIPO",26.3,4.5,NA,NA,96,48
64,269,3.1,2.2,"PIPO",25.2,4.6,NA,NA,98,48
64,270,0.9,1.5,"PIPO",25.3,4.4,NA,NA,96,48
64,271,0.2,1.5,"PIPO",25.1,4,NA,NA,97,48
64,272,1.7,1.8,"PIPO",25.5,3.8,NA,NA,98,48
64,273,0,1.1,"PIPO",25.1,4,NA,NA,99,48
64,274,2.3,1.9,"PIPO",25.4,0.01,NA,NA,98,48
64,275,1.5,1.7,"PIPO",25.2,0.8,NA,NA,99,48
64,276,0,1.35,"PIPO",23.8,4.2,NA,NA,97,48
64,277,0.2,1.5,"PIPO",22.4,3.9,NA,NA,99,48
64,278,1.1,1.5,"PIPO",24.3,1.2,NA,NA,97,48
64,279,1.4,1.6,"PIPO",23.8,0.8,NA,NA,97,48
64,280,0,1,"PIPO",22.6,0.7,NA,NA,99,48
64,281,0,1,"PIPO",19.6,0.3,NA,NA,98,48
64,282,1.3,1.7,"PIPO",18.9,2.3,NA,NA,97,48
64,283,87.2,19.6,"ABCO",18.3,4.8,NA,"Fire scar same as height, unsure of species--might be ABMA or PSME but too old to tell",0,48
64,284,1.4,1.6,"PIPO",18.1,0.3,NA,NA,99,48
64,285,1.2,1.5,"PIPO",17.8,0.2,NA,NA,98,48
64,286,70.7,9.9,"ABCO",16.1,0.4,NA,"fire scar same as height",0,48
64,287,1.7,1.9,"PIPO",16.7,3.1,NA,NA,97,48
64,288,2.3,2.2,"PIPO",16.4,3.6,NA,NA,96,48
64,289,1.8,1.8,"PIPO",16.8,4.4,NA,NA,99,48
64,290,0.1,1.37,"PIPO",16.7,4.9,NA,NA,99,48
64,291,2.1,2.1,"PIPO",15.9,4.2,NA,NA,99,48
64,292,2.1,2.4,"PIPO",14.9,3.3,NA,NA,97,48
64,293,2.7,2.4,"PIPO",14.4,4.9,NA,NA,98,48
64,294,1.6,1.75,"PIPO",13.3,0.5,NA,NA,99,48
64,295,0.3,1.4,"PIPO",13.5,0.8,NA,NA,99,48
64,296,1.3,1.5,"PIPO",13.6,2.1,NA,NA,97,48
64,297,1.3,1.6,"PIPO",12.4,1.8,NA,NA,99,48
64,298,2.1,2,"PIPO",11.5,3,NA,NA,0,48
64,299,1.6,1.6,"PIPO",11,1.2,NA,NA,99,48
64,300,69.3,15.5,"ABCO",8.5,3.9,NA,"Fire scar same as height, unsure of species--might be ABMA or PSME but too old to tell",0,48
64,301,0,1,"PIPO",7,0.8,NA,NA,98,48
64,302,1.1,1.55,"PIPO",7.2,3.6,NA,NA,99,48
64,303,2,2,"PIPO",7.4,4.9,NA,NA,98,48
64,304,12.2,1.7,"ABCO",6.3,4,NA,"Unsure of species, this was a chunk of a tree (less than half)",0,48
64,305,1.2,1.7,"PIPO",5.8,4.7,NA,NA,99,48
64,306,0,1.1,"CADE",5.9,3.1,NA,NA,92,48
64,307,4.3,2.8,"PIPO",5.5,2.8,NA,NA,92,48
64,308,0,1,"CADE",5.3,2.1,NA,NA,97,48
64,309,1,1.8,"PIPO",5.1,2.2,NA,NA,98,48
65,1,76.3,4,"ABMA",7.9,NA,"-4.4","fire scar to top, ABMA might also be ABCO. We see mature ABCO but also ABMA seedlings. Their bark is reddish, the burned bark is not spongy",0,49
65,2,47.4,7.1,"ABMA",22.1,NA,"-3.6","fire scar to top, ABMA might also be ABCO. We see mature ABCO but also ABMA seedlings. Their bark is reddish, the burned bark is not spongy",0,49
65,3,54,5,"ABMA",40.3,NA,"-0.7","fire scar to top, ABMA might also be ABCO. We see mature ABCO but also ABMA seedlings. Their bark is reddish, the burned bark is not spongy",0,49
65,4,0,1.2,"PIJE",45.8,NA,"-3.3",NA,99,49
65,5,50.1,7.4,"ABMA",47.7,NA,"-1.2","fire scar to top, ABMA might also be ABCO. We see mature ABCO but also ABMA seedlings. Their bark is reddish, the burned bark is not spongy",0,49
65,6,27.7,12.1,"ABMA",47,4.7,NA,"fire scar 8m, ABMA might also be ABCO. We see mature ABCO but also ABMA seedlings. Their bark is reddish, the burned bark is not spongy",0,49
65,7,9.6,1.4,"Unknown",2.2,3.7,NA,"fire scar to top, half of tree stump, too old to assess",0,49
67,1,52,28.1,"ABCO",0.2,1.1,NA,"flagging",93,50
67,2,56.8,11.6,"ABMA",0.8,6.2,NA,"SD",0,50
67,3,7,2.6,"ABMA",0.9,NA,"-1","healthy",99,50
67,4,22.1,7.4,"ABCO",2.8,NA,"-2.7","flaglet, pitch tubes, FS",95,50
67,5,30.4,9.3,"ABCO",3.8,NA,"-3.05","pitch tubes, exit holes, FS, SD",0,50
67,6,48.5,16.8,"ABCO",4.4,NA,"-2.3","pitch tubes, flags",97,50
67,7,31.1,18.5,"ABCO",5.5,3.1,NA,"fire scar, pitch tubes, flag",88,50
67,8,103.4,39.6,"PIJE",14.9,2.75,NA,"small fire scar",100,50
67,9,8.7,7.5,"ABMA",12.95,NA,"-3.7","pitch tubes on bole",98,50
67,10,18.3,2.7,"ABMA",19.8,1.3,NA,"pitching bole",99,50
67,11,26.3,8.3,"ABCO",20.5,NA,"-2.1","lean, flaglets",97,50
67,12,36.8,20.1,"ABCO",21.25,NA,"-1","pitch tubes, flaglets",97,50
67,13,15.1,6.7,"ABCO",22.45,NA,"-1.1","DT, flag, pitch tubes, ptiching",92,50
67,14,12.6,4.6,"ABCO",22.4,NA,"-3.3","pitch tubes",100,50
67,15,10.8,4.6,"ABCO",22.35,NA,"-4.2","pitching",100,50
67,16,33.5,15.7,"ABCO",25.2,0,NA,"pitch tubes all up",98,50
67,17,45.8,2,"ABCO",35.5,14.97,NA,"old pitch tubes, giant fire scar",0,50
67,18,37.2,7.3,"ABMA",36.2,NA,"-1.3","fire scar, heavy pitch",0,50
67,19,9.2,4.1,"ABCO",36.1,NA,"-4.08","SD, fire scar pitching",0,50
67,20,79.8,32.3,"ABCO",36.3,NA,"-4.5","healthy",98,50
67,21,120.6,4.2,"PIJE",44.5,NA,"-3","SD",0,50
67,22,60.1,26.8,"ABCO",46.25,1.05,NA,"FS, flaglets",98,50
67,23,56.9,42.2,"ABCO",47.7,1.1,NA,"FS, flaglets",99,50
67,24,27.1,12.8,"ABCO",47.7,1.75,NA,"FS, SD",0,50
67,25,70.9,32,"ABCO",49.65,NA,"-4.9","FS",100,50
68,1,3.7,2.5,"ABCO",2.4,NA,"-1.4","lean, burned -> fire scar <1.5 m",0,51
68,2,18.2,8.1,"ABCO",6.3,NA,"-1.3","fire scar",70,51
68,3,96.2,48.1,"ABCO",12.25,0.7,NA,"fire scar, multi leaders",99,51
68,4,137.5,16.4,"ABCO",19.1,NA,"-3.4","SD; fire, Btop",0,51
68,5,117.3,14.5,"ABCO",21.7,0.8,NA,"fire scar, Abgr",62,51
68,6,4.5,2.4,"ABCO",35.8,1,NA,"mech -> tilted top",98,51
68,7,10,4.1,"CADE",38.5,1.55,NA,NA,36,51
68,8,0,1.37,"ABCO",47.4,4.3,NA,"two leaders, SD, fire scar",0,51
7,1,7.4,2.4,"PICO",2.3,2.3,NA,"A few flaglets, one cone",95,7
7,2,52.4,10.7,"JUOC",1.9,NA,"-1","A little dieback, forked below",94,7
7,3,20,3,"JUOC",2.3,NA,"-1.1","branch below DBH from tree",96,7
7,4,0.3,1.4,"JUOC",12.3,NA,"-2.4","growing out of rock; very bushy",94,7
7,5,64.4,14.8,"PIJE",20.6,4.7,NA,"smells good! Twin stem with a PIJE",99,7
7,6,50,10,"PIJE",21.1,5.3,NA,"Twin with PIJE above, DBH and height estimated",98,7
7,7,84.5,8.9,"JUOC",26.6,NA,"-0.5","Dtop, 8.7m to live top, lichen",98,7
70,1,0.7,1.79,"ABMA",43.7,NA,"-4.6","some brown needles and NM",99,52
70,2,0,1.35,"ABMA",42.2,NA,"-3.45","WF",99,52
70,3,24.3,1.6,"PIPO",39.1,NA,"-3.8","leaning 10+ m other side of transect, would be 10+ meters tall, new leaders, flagging, mist",90,52
70,4,1.6,1.98,"ABMA",39.8,NA,"-4.1","healthy",99,52
70,5,35.5,10.7,"PIPO",39.5,NA,"-4.3","broken top, new leader, mist, flaglet",96,52
70,6,0,1.36,"ABMA",37.7,NA,"-1.35","mech",99,52
70,7,16.7,5.7,"PIPO",37.3,NA,"-2","lean, mist, flaglets, flag",96,52
70,8,0.4,1.7,"ABMA",31.3,2.4,NA,"healthy",99,52
70,9,0.4,1.6,"ABMA",31.5,2.9,NA,"NM, WF, supp",99,52
70,10,3.4,2.35,"ABMA",7.56,NA,"-4.5","healthy",99,52
71,1,100.4,36.5,"CADE",49.3,1.5,NA,"healthy, fire scar",99,53
71,2,28.1,13.6,"PIPO",20.2,NA,"-0.8","N side mech damage and suppression, fresh pitch, fire scar",97,53
71,3,29,17.3,"PIPO",12.6,3.2,NA,"needle mining, 0.5 meter fire scar",98,53
71,4,67.6,21.4,"CADE",8.4,NA,"-7.3","fire scar 5m, tree is out of  5m belt (accidental)",0,53
71,5,122.5,51.9,"PIPO",5.4,NA,"-4.8","fire scar >5m",99,53
71,6,0,1.37,"CADE",4.6,NA,"-3.05","healthy sapling",100,53
72,1,100.3,26.4,"ABCO",1.3,NA,"-2.9","SD, fire scar, broken top",0,54
72,2,35.8,6.5,"ABCO",1.1,NA,"-4.1","SD, fire scar, broken top",0,54
72,3,93.9,7.6,"ABCO",6.4,NA,"-3.24","SD, fire scar, broken top",0,54
72,4,81.9,9.5,"ABCO",11.3,1.92,NA,"SD, BROKE, fire to the top",0,54
72,5,102.9,44.7,"ABCO",12.2,4.15,NA,"CD, 5m fire scar, moss, Dtop",85,54
72,6,73.7,9.6,"ABCO",10.5,6.8,NA,"SD, burned snag",0,54
72,7,94.4,46.5,"ABCO",23.3,14.9,NA,"fire scar",100,54
72,8,37.4,19.5,"ABCO",26.6,NA,"-3.2","fire scar",97,54
72,9,43.4,22.5,"ABCO",29.5,4.13,NA,"fire scar",95,54
72,10,9.8,1.8,"ABCO",33.3,10.3,NA,"SD",0,54
72,11,21.3,7.9,"ABCO",27.9,NA,"-0.55","SD, broken top",0,54
72,12,26.9,13.1,"ABCO",33.3,10.3,NA,NA,80,54
72,13,52.3,25.8,"ABCO",36.7,1.87,NA,"fire scar faint",92,54
72,14,27.8,12.3,"ABCO",37.3,NA,"-6.32","flaky bark around fire scar, fir engraver, mistle",75,54
72,15,20.7,11.3,"ABCO",36.7,6.21,NA,"fire scar",90,54
72,16,47.1,26.9,"ABCO",37.7,5.42,NA,"fire scar, wolly lichen, sap suckers",95,54
72,17,54.6,31.5,"ABCO",37.9,NA,"-2.8","fire scar, mist",75,54
72,18,41.2,21.7,"ABCO",40.5,2.79,NA,"btop, suppression, mistle",95,54
72,19,29.5,11.4,"ABCO",39.1,13.5,NA,"mistle, fire scar",95,54
72,20,46.5,18.4,"ABCO",41.15,NA,"-12","fire scar, mistle",90,54
72,21,3,1.9,"ABCO",42.6,0.4,NA,"SD shag (crispy)",0,54
72,22,51.4,22.6,"ABCO",42.3,NA,"0","ABGR, fire scar",95,54
72,23,7.8,12.4,"ABCO",47,NA,"-7.9","very large fire scar, wood pecker, ABGR, SD",0,54
72,24,30.4,15.1,"ABCO",48.1,NA,"-8.8","fire scar 5m",96,54
72,25,43,18.9,"ABCO",50.5,7.2,NA,"mistle, big fire scar",93,54
73,1,12.9,5.2,"ABCO",46.3,1.1,NA,"2 flags, broken top",95,55
73,2,36.4,22.1,"ABCO",45.9,NA,"-2.6","broken at top and base, mech, very sparse due to suppression, 0.1 m fire scar",96,55
73,3,38.8,23.6,"ABCO",41.7,2.6,NA,NA,95,55
73,4,19.1,15.3,"QUKE",38.4,NA,"-4.7","no resprouts, growing out of rock",0,55
73,5,17.2,11.6,"ABCO",36.9,NA,"-2.2","sparse/ suppressed, 0.1 m fire scar",96,55
73,6,17.3,10.1,"ABCO",27.8,1.9,NA,"lichen, 0.1m fire scar",97,55
73,7,18.5,9.3,"ABCO",28.2,NA,"-3.4","1m fire scar",97,55
73,8,14.6,8.8,"ABCO",25.9,NA,"-3.9","1m fire scar",0,55
73,9,12.6,5.2,"ABCO",24,NA,"-1.3","lichen, no fire scar",0,55
73,10,75.6,37.7,"ABCO",24.5,NA,"-0.1","lichen, 0.1m fire scar",98,55
73,11,41.2,29.5,"ABCO",21.6,0.6,NA,"lichen, 0.1m fire scar",96,55
73,12,33.8,18.8,"ABCO",19,2.1,NA,"mech, no fire scar schielded by tree 13",96,55
73,13,52.2,14.4,"ABCO",19.4,2.5,NA,"broken top, shelf fungus, fire scar 1.1 m, wood borers",0,55
73,14,124.1,43.9,"CADE",18.3,NA,"-0.8","2m fire scar, lichen",97,55
73,15,9.4,5,"ABCO",16.7,3.5,NA,"0.2m fire scar",96,55
73,16,24.9,12.3,"ABCO",14.7,4.2,NA,"pitching on stem, probably growth, no fire scar",95,55
73,17,32.9,4,"ABCO",13.3,2.3,NA,"0.3m fire scar",0,55
73,18,2.5,2.5,"QUKE",10.3,NA,"-1.6","dying back for fall, no fire scar",90,55
73,19,13.1,5,"QUKE",5.6,1.9,NA,"dying back for fall, no fire scar",95,55
73,20,22.7,14,"PIPO",4.6,4,NA,"no fire scar, lots of yellowing needles",90,55
73,21,8.4,3.5,"CADE",3.3,2.6,NA,"no fire scar",98,55
73,22,2.1,3,"QUKE",6.2,NA,"-1.2","dying back for fall",90,55
73,23,0.2,1.4,"CADE",3.6,NA,"-1.8","lots of dying needles, DBH needles only",25,55
73,24,0.2,1.5,"CADE",3.5,NA,"-2.4","DBH needles only",91,55
73,25,1.9,1,"ABCO",4.7,NA,"-4.8","no fire scar",98,55
73,26,2.1,1.1,"CADE",5.2,NA,"-5","no fire scar",99,55
74,1,38,13.1,"PIPO",4.95,NA,"-1.86","<1/2m FS, flaglets",99,56
74,2,18.6,4.6,"CADE",4.5,NA,"-1.79","flaglets",99,56
74,3,12.2,4.2,"PIPO",4.85,NA,"-1.2","twins with tree below, 2m FS, flag",98.5,56
74,4,9.9,4,"PIPO",4.85,NA,"-1.2","twins with tree above , 2m FS, flag",98.5,56
74,5,68.3,21.8,"PIPO",9.94,3.8,NA,"couple flaglets, woodpecker",98,56
74,6,16.3,5.3,"PIPO",16.7,NA,"-1.54","two leaders, browning needles",99,56
74,7,33.4,4.9,"QUCH",16.6,3.3,NA,"offshoots begin 14.7-19m dout, 3 other SD stems, 32 live offshoots height 1.5-2m for live ones (98% live), 1-2.4 DBH",0,56
74,8,2,2.4,"QUKE",36.8,NA,"-0.87","8 live stems",95,56
74,9,10.4,1.7,"QUCH",37.5,0.1,NA,"burned stump 0.4m, brown leafs",94,56
74,10,38.4,10.8,"PIPO",41.4,2.36,NA,"FS 2.2m, couple flaglets, die back below, multi leaders",97,56
74,11,30.4,12.1,"PIPO",42,0.35,NA,"FS <1.1, flaglets, supp",98,56
74,12,34.3,13.3,"PIPO",48.2,3.47,NA,"FS <1.37, three leaders, brown needles",97,56
74,13,17.5,5.3,"PIPO",NA,2.94,NA,"FS <1.35m, some brown needles",98,56
74,14,31.6,14.2,"PIPO",49.2,1.86,NA,"FS <0.3, lots of flaglets",96,56
75,1,89.3,14.6,"ABCO",32.1,NA,"-4.7","lichen, broken top",0,57
76,1,90.2,22.4,"CADE",2.2,NA,"-4.35","FS 3.4m, flaglets",97,58
76,2,60.9,23.5,"ABCO",4.8,3.21,NA,"flaglets, FS 2m",99,58
76,3,14.3,6.3,"CADE",7.5,NA,"-2.5","Btop, SD, FS 2m",0,58
76,4,59.4,6.5,"ABCO",7.7,NA,"-3.08","SD, Btop FS 2m",0,58
76,5,24.7,6.3,"CADE",7.6,NA,"-3.9","SD, Btop, FS 3m",0,58
76,6,28.9,9.6,"CADE",7.6,NA,"-3.91","SD, some needles left, Btop, FS 4m",0,58
76,7,39.9,6.3,"CADE",8.7,NA,"-1.88","FS, crook, SD, Btop, FS 3.5m",0,58
76,8,18.7,6.1,"CADE",10.2,NA,"-2.51","SD, lean, FS 2m",0,58
76,9,55.6,28.5,"PIPO",14.3,NA,"-2.2","DEPO exit holes, mech, fs 1m, flaglets",99,58
76,10,56,16.9,"CADE",17.8,NA,"-4.14","FS 4m, Btop, flaglets",98,58
76,11,10.3,4.4,"CADE",17.8,2.24,NA,"FS 3m, flaglets",97,58
76,12,52.4,23.4,"CADE",22.6,4.1,NA,"joined at base w/ tree 12 below DBH, exit holes",99,58
76,13,29,19.9,"CADE",22.8,4.1,NA,"FS 1m, exit holes, flaglets",98,58
76,14,73.9,37.9,"PIPO",26.3,3.75,NA,"healthy, FS 1m",99,58
76,15,14.3,6.1,"CADE",27.3,0.05,NA,"SD, FS 1m, lean",0,58
76,16,50.6,16.4,"ABCO",27.2,NA,"-0.08","SD, lean, FS 3m",0,58
76,17,43.8,16.1,"CADE",27.9,4.36,NA,"FS 2m, flaglets, sparse",99,58
76,18,19.1,14.2,"CADE",24.4,1.6,NA,"SD, lean, FS 1m, Btop",0,58
76,19,41.5,4.4,"ABCO",28.5,1.6,NA,"mech, EH, FS 1m, SD,Btop",0,58
76,20,55.3,3.1,"ABCO",34.3,NA,"-3.4","WB, SD, broken, FS 2m, bark falling off",0,58
76,21,27.6,1.9,"ABCO",34.6,NA,"-3","SD, broke, WB, FS 1.9m",0,58
76,22,45.3,3,"ABCO",35.6,NA,"-3.45","SD, broke, WB, WP, FS 3m",0,58
76,23,37.5,2.7,"ABCO",35.8,NA,"-4.6","SD, broke, WB, FS 2.7m",0,58
76,24,19.6,2.2,"ABCO",41.3,NA,"-4.8","SD, broke, FS 2.2m",0,58
76,25,19.4,4.3,"ABCO",41.5,NA,"-4.3","SD, broke, FS 4.3m",0,58
76,26,9.7,2.1,"ABCO",45.9,2.87,NA,"growing out of rock, brown needles",99,58
8,1,13.6,5.3,"ABCO",0.4,4.5,NA,"SD, firescar ~ 2m",0,8
8,2,16.6,7,"ABCO",3.5,NA,"-4.6","SD",0,8
8,3,2.8,2,"Abies_sp",5.6,NA,"-2.3","SD, lean, firescar <1m",0,8
8,4,3.3,2.2,"Abies_sp",8.5,2.2,NA,"SD, lean",0,8
8,5,19.5,9.7,"ABCO",10.9,NA,"-2.2","SD, fire scar ~5m",0,8
8,6,19.3,8.9,"ABCO",11.3,NA,"-1.4","SD, fire scar ~5m",0,8
8,7,0,1.1,"Abies_sp",12,NA,"-2.9","SD, lean",0,8
8,8,1.7,1.8,"Abies_sp",12,NA,"-3.5","SD, lean",0,8
8,9,17.6,8.9,"ABCO",15.3,NA,"-3.4","SD, firescar ~2.5m",0,8
8,10,126.5,30,"PIPO",15.5,NA,"-1.2","firescar ~10m",97,8
8,11,3,2.2,"Abies_sp",15.8,NA,"-0.8","SD, lean",0,8
8,12,5.1,4,"ABCO",16.6,NA,"-1","SD, lean",0,8
8,13,4.3,3.8,"Abies_sp",16.9,NA,"-1.9","SD, lean",0,8
8,14,5.7,3.8,"Abies_sp",17.3,0.9,NA,"SD",0,8
8,15,6.7,5.8,"ABCO",21,2,NA,"SD, fire scar ~2m",0,8
8,16,9.9,5.6,"ABCO",21,2.2,NA,"SD",0,8
8,17,16.2,7.6,"ABCO",21.9,NA,"-0.8","SD",0,8
8,18,10.4,4.9,"ABCO",24.9,0.7,NA,"SD",0,8
8,19,132.8,36.9,"ABMA",38,NA,"-3.7","firescar ~13.5m, flags (propbably mist)",70,8
8,20,56.7,16.6,"PIPO",43.9,NA,"-0.6","SD, old Btop, firecar ~5.3m (hollow)",0,8
8,21,13.5,6.4,"ABCO",46.2,NA,"-4.5","SD, fire scar ~2m",0,8
8,22,9.4,5.2,"ABCO",47.5,NA,"-5","SD, fire scar ~2m",0,8
9,1,81.3,52.2,"PIJE",44.6,NA,"-3.7","browning needles",95,9
9,2,107.8,18.9,"ABMA",47.9,1,NA,"Broke, SD, wood borer, wood pecker, old needles",0,9
9,3,124.2,41,"ABMA",43.5,3.1,NA,"Mech, a lot of lichen",99,9
9,4,115.9,45,"ABMA",36.9,NA,"-4","a lot of lichen",98,9
9,5,3.6,2.4,"ABCO",36,NA,"-0.6",NA,98,9
9,6,8.8,3.1,"ABMA",35.5,2.8,NA,"pitching from gorwth",97,9
9,7,0,1,"ABCO",35.9,1.2,NA,NA,96,9
9,8,2.8,1.9,"ABMA",34.8,4.3,NA,NA,96,9
9,9,37.1,12,"ABCO",31.3,NA,"-3.8",NA,98,9
9,10,44.3,17.8,"ABMA",19.3,1.5,NA,"lots of lichen",98,9
9,11,107.9,42.8,"ABMA",18.7,3.1,NA,"lots of lichen, lots of woodpeckers, mech, broken top (Dtop)",96,9
9,12,53.5,2.4,"ABMA",18.2,4.1,NA,"SD, broken, rotting",0,9
9,13,108.9,44,"ABMA",17.4,4.3,NA,"lots of lichen, major old mech on bole with wood boreres, sparse",98,9
